id,attraction_id,name,score,distance
220,16,"蜀容饭店",5.0,
221,17,"鲁朗石锅城·松茸天麻石锅鸡",3.8,36.9
222,17,"鲁朗纳麦石锅鸡庄园",4.8,2.2
223,17,"南渝食府.石锅鸡(尚城花园店)",4.9,35.7
224,17,"盐帮菌王府(林芝总店)",4.6,36.0
225,17,"艾葳格兰西餐厅",5.0,3.7
226,17,"兰心石锅菌王府(林芝佳美花园店)",2.7,35.5
227,17,"知味轩石锅鸡",4.5,35.5
228,17,"林芝工布庄园希尔顿酒店·猎味中餐厅",,
229,17,"鲁朗石锅城·松茸天麻石锅鸡",3.8,
230,17,"酸叔老坛酸菜鸡(波密分店)",5.0,
231,17,"南渝食府.石锅鸡(尚城花园店)",4.9,
232,17,"盐帮菌王府(林芝总店)",4.6,
233,17,"圣地卓龙藏家宴",4.9,
234,17,"鲁朗纳麦石锅鸡庄园",4.8,
235,18,"鲁朗石锅城·松茸天麻石锅鸡",3.8,42.5
236,18,"盐帮菌王府(林芝总店)",4.6,42.0
237,18,"南渝食府.石锅鸡(尚城花园店)",4.9,44.9
238,18,"兰心石锅菌王府(林芝佳美花园店)",2.7,42.5
239,18,"滋补菌石锅居 松茸石锅鸡",,42.4
240,18,"知味轩石锅鸡",4.5,45.1
241,18,"易老六跷脚牛肉非物质文化遗产",4.0,41.8
242,18,"喜玛拉雅·巴松措酒店餐厅",5.0,
243,18,"巴河鱼庄",4.8,
244,18,"成都餐厅",4.0,
245,18,"渝味川菜馆",,
246,18,"川渝餐厅",4.3,
247,18,"重庆家常风味",5.0,
248,18,"蜀容饭店",5.0,
249,19,"酸叔老坛酸菜鸡(波密分店)",5.0,14.6
250,19,"圣地卓龙藏家宴",4.9,15.7
251,19,"寓见花园餐厅",3.4,14.6
252,19,"工布石锅(波密分店)",5.0,14.0
253,19,"帅哥餐厅",4.5,14.9
254,19,"仁青客栈",4.8,10.6
255,19,"波密雪叙故里民宿·餐厅",,13.0
256,19,"酸叔老坛酸菜鸡(波密分店)",5.0,
257,19,"圣地卓龙藏家宴",4.9,
258,19,"寓见花园餐厅",3.4,
259,19,"工布石锅(波密分店)",5.0,
